Pays;Brain;Breast(F);Colon;Lung;Ovary(F);Prostate(H);Stomach;Uterus(F)
Argentina ;2.1000;17.6;9.9500;17.4000;4.1;12.9;5.1500;9.4
Australia ;2.9000;13.0;3.7000;18.2000;4.2;11.4;2.7000;3.0
Austria ;3.0000;14.1;6.1000;21.3500;4.5;10.2;4.2000;3.7
Belgium ;2.8000;17.2;7.2500;28.0000;4.3;9.4;2.7000;4.1
Brazil ;3.4000;11.7;4.3500;11.6000;2.7;14.5;6.6500;7.2
Bulgaria ;4.3000;14.7;10.7000;26.1500;5.7;11.4;7.5500;10.0
Chile ;1.6000;10.2;6.0500;12.3000;3.3;15.8;12.9500;6.4
China;0.7000;8.6;8.6500;25.4000;2.9;4.5;4.1500;3.7
Colombia ;1.8000;9.8;4.6500;9.2000;3.3;12.5;10.3000;7.4
Costa Rica ;2.4000;11.8;5.6500;4.9500;2.4;13.8;10.6000;6.6
Croatia ;4.8000;18.0;12.4000;32.8000;6.6;14.8;8.5000;6.8
Cuba ;3.1000;13.9;8.7500;26.6000;3.1;23.7;4.1500;11.6
Cyprus ;2.0000;13.8;5.6500;16.0000;5.3;11.0;4.1500;3.4
Czech Republic ;3.1000;13.2;8.9500;25.9000;6.2;12.8;5.0500;6.9
Ecuador ;1.9000;6.8;2.9500;4.1500;2.3;10.7;10.1000;8.8
El Salvador ;2.4000;5.6;2.2500;3.9000;2.2;6.8;7.0000;10.6
Estonia ;3.8000;13.2;7.9000;26.7000;4.5;19.5;10.6500;7.4
Finland ;3.0000;13.1;5.2000;17.6500;4.2;12.2;3.6000;3.0
France ;2.7000;15.2;7.0000;24.1000;4.1;9.1;3.0500;4.1
Georgia ;3.1000;12.1;2.1500;13.9000;3.7;6.2;5.8500;6.4
Germany ;3.0000;16.1;6.9500;23.5500;4.8;11.3;4.3500;3.8
Guatemala ;1.0000;5.3;2.2000;3.2000;1.7;10.6;12.4000;12.6
Hungary ;3.1000;17.7;15.3500;47.8000;6.7;12.1;7.8000;7.7
Ireland ;3.0000;17.5;6.2000;23.3500;6.5;12.2;3.8000;4.6
Israel ;3.0000;17.4;8.5000;16.8000;4.8;5.8;4.0500;4.3
Japan ;0.8000;9.0;7.4500;17.5000;3.1;4.8;11.7500;4.0
Kazakhstan ;2.0000;13.3;4.5500;20.7500;4.7;6.3;13.4500;9.0
Korea ;1.5000;5.6;5.6500;21.1500;2.4;4.5;11.1500;2.7
Kuwait ;2.5000;11.6;6.2000;7.9500;3.9;4.9;1.7000;5.8
Kyrgyzstan ;2.1000;8.4;2.4000;13.0000;3.7;4.2;15.4500;11.0
Latvia ;3.3000;16.6;7.1000;27.3500;7.5;19.3;11.5000;10.5
Lithuania ;5.0000;15.1;7.2000;26.0500;6.9;18.3;10.9500;9.9
Luxembourg ;3.6000;15.4;9.5000;19.9500;4.5;7.8;3.2000;4.5
Malta ;1.7000;16.7;9.2000;16.7500;5.6;8.0;4.8500;2.8
Mauritius ;0.6000;18.8;5.5500;10.4500;3.8;10.2;4.6500;7.5
Mexico ;1.5000;9.0;3.5000;5.7000;3.4;10.0;4.6500;7.5
Moldova ;2.8000;14.6;7.1000;17.7500;3.2;7.7;8.6000;8.6
Nicaragua ;1.8000;6.8;3.3000;4.3000;2.1;10.1;7.6000;12.4
Norway ;2.7000;11.8;9.5500;21.1500;5.4;15.7;3.0000;4.2
Panama ;1.9000;10.5;4.8500;7.1500;2.9;14.4;7.1000;7.9
Paraguay ;1.4000;11.7;4.3500;9.5000;3.0;11.0;3.6500;14.4
Peru ;2.2000;6.5;3.2000;6.0000;2.4;10.5;9.2500;8.6
Poland ;3.9000;14.4;9.2500;34.0000;6.7;12.2;7.3000;7.9
Portugal ;3.5000;12.5;9.8500;18.7000;2.8;11.1;8.9000;4.4
Romania ;4.0000;15.2;8.2500;28.5500;5.1;10.2;8.6500;12.3
Serbia ;3.9000;19.9;8.3500;36.8500;5.5;10.9;6.3500;10.8
Singapore ;1.2000;14.5;8.2500;20.1500;3.9;6.5;5.2000;4.5
Slovakia ;3.4000;17.3;11.8500;26.1000;5.4;14.8;7.6000;9.1
South Africa ;0.8000;12.0;4.0000;14.6500;2.7;18.3;3.1500;14.2
Spain ;2.9000;11.7;9.6500;23.1000;3.5;8.6;5.0000;4.1
Suriname ;2.9000;11.3;10.0500;12.4500;4.4;21.4;2.3000;11.0
Sweden ;2.6000;12.8;7.0000;15.6500;4.5;16.0;2.7000;4.1
Switzerland ;2.7000;13.3;5.5000;18.3500;3.8;12.3;3.1500;2.9
Thailand ;2.1000;6.6;3.2500;12.6500;2.0;2.3;1.6000;5.2
The Netherlands ;2.3000;10.5;9.3500;28.6500;5.1;12.5;3.4500;3.6
U.K.;3.0000;15.9;5.9500;24.6000;5.7;12.8;3.1000;4.2
U.S.A ;2.6000;13.4;6.6500;26.1000;4.5;8.4;1.9000;4.7
Uruguay ;2.3000;18.9;10.8500;24.5500;4.5;17.3;7.2500;8.3
Venezuela ;1.8000;13.8;4.6500;12.9000;3.4 ;20.6;6.6000;12.5
